item_id	r_history	r_favorite	r_interested
1	[8, 42, 55]	[]	[]
3	[6, 8, 11, 15, 22, 42, 49, 52, 55, 56, 57, 60, 62, 63, 64, 65]	[6, 8, 11, 15, 22, 42, 49, 52, 55, 56, 57, 60, 62, 64, 65]	[1, 6, 8, 12, 31, 42, 49, 52, 55, 56, 57, 60, 62, 64, 65]
6	[3, 8, 16, 42, 49, 55, 56, 60, 62, 64, 65]	[3, 8, 16, 42, 49, 55, 60, 62, 65]	[3, 8, 36, 42, 49, 52, 55, 56, 60, 62, 64, 65]
7	[8, 55]	[]	[52, 55, 60]
8	[3, 6, 42, 49, 51, 52, 55, 56, 60, 62, 64, 65]	[3, 6, 42, 49, 51, 55, 56, 62, 64, 65]	[3, 6, 42, 43, 49, 52, 55, 56, 60, 64, 65]
10	[8, 42, 52, 55, 56, 64, 65]	[8, 42, 52, 55, 64]	[36]
15	[13, 18, 42, 55]	[13, 18, 55]	[46]
16	[1, 3, 8, 42, 55, 56, 64, 65]	[3, 8, 55, 65]	[17, 43, 62, 65]
20	[52, 55]	[38]	[]
21	[3, 8, 42, 52, 55, 64]	[52, 55, 64]	[17, 40, 44, 60]
22	[3, 8, 34, 36, 37, 42, 52, 55, 62]	[3, 34, 36, 37, 57]	[24, 56]
23	[]	[]	[8, 42]
25	[3, 8, 42, 55, 62]	[55]	[]
35	[48, 59]	[53]	[]
38	[3, 6, 8, 42, 55, 60, 62]	[3]	[42, 55]
42	[2, 3, 6, 8, 21, 49, 50, 52, 55, 56, 57, 60, 62, 64, 65]	[3, 6, 8, 50, 52, 55, 57, 60, 62, 64, 65]	[3, 6, 8, 14, 15, 17, 29, 37, 49, 52, 55, 56, 57, 60, 62, 64, 65]
47	[]	[]	[]
49	[3, 6, 8, 42, 64]	[8, 64]	[3, 42, 55, 56, 57, 60, 62]
50	[3, 5, 6, 8, 15, 42, 55, 57]	[5, 15, 42, 57]	[60]
52	[3, 6, 8, 13, 15, 36, 42, 49, 55, 60, 64, 65]	[3, 8, 27, 36, 42, 49, 55, 64, 65]	[3, 6, 42, 55, 56, 60, 62, 65]
55	[3, 8, 9, 15, 42, 47, 52, 56, 60, 62, 64, 65]	[3, 8, 9, 15, 42, 47, 56, 60, 62, 64, 65]	[3, 6, 8, 36, 42, 44, 49, 52, 54, 56, 57, 60, 62, 64, 65]
56	[32, 33, 42, 55, 65]	[32, 33, 42, 55, 65]	[3, 8, 22, 42, 49, 55, 57, 65]
57	[3, 6, 8, 36, 42, 49, 52, 55, 56, 60, 62, 64, 65]	[3, 8, 36, 42, 55, 56, 60, 65]	[3, 8, 15, 17, 26, 36, 39, 41, 45, 49, 52, 55, 56, 60, 62, 64, 65]
58	[8, 30, 55]	[8, 55]	[8, 65]
60	[3, 8, 42, 52, 55, 64]	[8, 42, 52, 55]	[36, 52, 55]
62	[3, 6, 8, 11, 42, 49, 53, 55, 60, 61, 64, 65]	[3, 6, 8, 11, 42, 49, 53, 55, 64, 65]	[3, 8, 36, 42, 49, 52, 55, 60, 65]
63	[23]	[23]	[15]
64	[3, 6, 8, 42, 49, 52, 55, 56, 60, 62, 65]	[3, 6, 8, 21, 42, 49, 52, 55, 58, 60, 65]	[2, 3, 6, 8, 42, 52, 55, 56, 60, 62, 65]
65	[3, 4, 6, 8, 16, 19, 42, 52, 55, 56, 62, 64]	[3, 4, 6, 8, 16, 19, 42, 55, 56, 62, 63, 64]	[3, 8, 28, 37, 42, 52, 55, 56, 57, 60, 64]
66	[3, 8, 42, 55, 65]	[55]	[52, 60, 65]
